DATE,PI,W209RC1,A048RC1,PIROA,PCTR,A061RC1,W055RC1,DSPI,DSPIC96,A041RC1
1959-01-01,391.8,278.0,15.0,38.4,23.9,13.6,40.2,351.5,2191.5,50.1
1959-02-01,393.7,279.3,15.0,38.9,24.1,13.6,40.8,352.9,2198.1,50.0
1959-03-01,396.5,281.9,15.0,39.2,24.0,13.7,41.3,355.2,2210.7,50.2
1959-04-01,399.9,284.4,15.4,39.7,24.0,13.8,41.7,358.2,2225.0,50.2
1959-05-01,402.4,286.6,15.4,40.1,23.8,13.9,42.1,360.3,2237.1,50.3
1959-06-01,404.8,288.3,15.4,40.6,24.0,14.0,42.2,362.6,2244.6,50.5
1959-07-01,405.4,288.2,15.8,40.9,24.1,14.0,42.7,362.8,2241.0,50.5
1959-08-01,403.7,286.2,15.8,41.4,24.0,13.8,42.6,361.2,2227.9,50.1
1959-09-01,405.1,286.4,15.8,41.8,24.4,13.8,42.8,362.3,2228.8,50.4
1959-10-01,406.6,287.2,16.0,42.2,24.5,13.8,43.2,363.4,2230.4,50.4
1959-11-01,409.9,289.5,16.0,42.5,25.1,13.9,43.7,366.3,2246.5,50.7
1959-12-01,414.6,293.9,16.0,43.1,24.9,14.1,44.4,370.2,2268.3,50.7
1960-01-01,415.7,297.9,16.2,43.6,24.4,16.4,44.9,370.8,2273.2,50.0
1960-02-01,416.6,298.8,16.2,43.7,24.5,16.4,45.3,371.3,2273.6,49.7
1960-03-01,417.6,299.5,16.2,43.9,25.0,16.4,45.7,371.9,2276.3,49.5
1960-04-01,420.6,301.2,16.4,43.9,25.1,16.5,45.9,374.7,2285.0,50.5
1960-05-01,422.1,302.0,16.4,44.1,25.2,16.4,46.1,376.0,2290.1,50.8
1960-06-01,422.6,302.0,16.4,44.3,25.6,16.5,46.1,376.5,2292.2,50.8
1960-07-01,424.1,302.9,16.5,44.6,25.6,16.5,46.3,377.7,2295.9,50.9
1960-08-01,424.1,302.4,16.5,44.9,26.0,16.5,46.6,377.5,2290.6,50.9
1960-09-01,424.9,302.5,16.5,45.1,26.5,16.5,46.6,378.3,2293.9,50.8
1960-10-01,426.7,303.6,16.7,45.3,26.5,16.5,46.6,380.1,2302.3,51.1
1960-11-01,426.3,302.5,16.7,45.4,27.1,16.4,46.5,379.8,2292.8,51.0
1960-12-01,424.4,300.2,16.7,45.3,27.5,16.2,46.2,378.2,2282.4,51.0
1961-01-01,428.3,302.7,16.9,45.5,27.8,16.8,46.4,381.9,2304.5,52.1
1961-02-01,430.3,302.8,16.9,45.7,29.4,16.8,46.5,383.8,2314.1,52.3
1961-03-01,431.9,303.9,16.9,45.9,29.2,16.7,46.6,385.2,2323.9,52.6
